Feature,Importance
cat__ExamBand_3,0.37092142858576105
cat__ExamBand_1,0.28308980468604716
cat__ExamBand_2,0.23398565406236627
cat__ExamBand_0,0.01819230447321604
num__AssignmentCompletion,0.008860419732135501
num__Attendance,0.008628505969851647
num__OnlineCourses,0.008372364493067023
num__Age,0.007638553714717233
num__StudyHours,0.007435665709384359
cat__Motivation_1,0.005591393719470259
cat__Motivation_0,0.0036928118730687465
cat__Resources_1,0.003636923971164007
cat__Resources_2,0.003371281117119387
cat__StressLevel_0,0.0029889939573464704
cat__Motivation_2,0.0028479593779641545
cat__Resources_0,0.002790281975355514
cat__LearningStyle_2,0.0020607104438406586
cat__Discussions_0,0.0020139046278465516
cat__Extracurricular_0,0.0019827502663891583
cat__Discussions_1,0.001973488770982444
cat__Extracurricular_1,0.0018970026127323454
cat__Gender_0,0.001873159158042269
cat__LearningStyle_0,0.0018415526868713194
cat__StressLevel_1,0.0018240780479430558
cat__Gender_1,0.0017878555705057879
cat__StressLevel_2,0.0017744216300648
cat__LearningStyle_3,0.0015827451893171795
cat__LearningStyle_1,0.0015745006375707284
cat__Internet_1,0.0015725012575436583
cat__Internet_0,0.0015076005910055921
cat__EduTech_1,0.001361067777884363
cat__EduTech_0,0.0013283133134252667
